[1868] 15:14:12.336 D -                IDMRoleMenuController(33) [          http-nio-8005-exec-8] [-2051930398914755281] : [preInvoke] - [79869d23-8dc5-4d35-8cf4-1902623c82f7] - IDMRoleMenuSC#searchMenu({action=SEARCH, loginId=UNIT1MAKER, menuCode=MNU_GPCASH_IDM_ROLE_MENU, appCode=GPCASHBO})
[1868] 15:14:12.340 D -                        QueueInvoker(126) [          http-nio-8005-exec-8] [-2051930398914755281] : [AutoDiscoveryQueueInvoker] - IDMRoleMenuSC#searchMenu({action=SEARCH, loginId=UNIT1MAKER, menuCode=MNU_GPCASH_IDM_ROLE_MENU, appCode=GPCASHBO})
[1868] 15:14:12.344 D -                    ValidationAspect(266) [            ServerThreadPool-1] [-2051930398914755281] : [Validation - Input] - IDMRoleMenuSCImpl#searchMenu({action=SEARCH, loginId=UNIT1MAKER, menuCode=MNU_GPCASH_IDM_ROLE_MENU, appCode=GPCASHBO})
[1868] 15:14:12.350 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.353 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_PENDING_TASK
[1868] 15:14:12.353 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.356 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_PARENT_USER_MT
[1868] 15:14:12.356 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.360 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_PRO_SETUP
[1868] 15:14:12.360 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.368 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_CUST_MANAGEMENT
[1868] 15:14:12.369 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.378 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_TRX_MANAGEMENT
