[20336] 01:36:00.587 D -         TransactionHistoryController(65) [          http-nio-8005-exec-9] [-6405045092293590825] : [preInvoke] - [a010e5d7-72e1-4ad3-9a3a-3d5494b801bd] - TransactionHistorySC#searchCorporateAccountGroupForInquiry({action=SEARCH, loginId=EWANG|EWANGTRX, loginCorporateId=EWANG, menuCode=MNU_GPCASH_F_TRX_HISTORY, appCode=GPCASHIB, loginUserCode=EWANG|EWANGTRX})
[20336] 01:36:00.591 D -                        QueueInvoker(126) [          http-nio-8005-exec-9] [-6405045092293590825] : [AutoDiscoveryQueueInvoker] - TransactionHistorySC#searchCorporateAccountGroupForInquiry({action=SEARCH, loginId=EWANG|EWANGTRX, loginCorporateId=EWANG, menuCode=MNU_GPCASH_F_TRX_HISTORY, appCode=GPCASHIB, loginUserCode=EWANG|EWANGTRX})
[20336] 01:36:00.596 D -                    ValidationAspect(266) [            ServerThreadPool-2] [-6405045092293590825] : [Validation - Input] - TransactionHistorySCImpl#searchCorporateAccountGroupForInquiry({action=SEARCH, loginId=EWANG|EWANGTRX, loginCorporateId=EWANG, menuCode=MNU_GPCASH_F_TRX_HISTORY, appCode=GPCASHIB, loginUserCode=EWANG|EWANGTRX})
[20336] 01:36:00.613 D -                        QueueInvoker(126) [            ServerThreadPool-2] [-6405045092293590825] : [AutoDiscoveryQueueInvoker] - EAIEngine#invokeService(DoAccountInquiry, {accountNo=0000757772001})
[20336] 01:36:00.624 I -                SystemCOTServiceImpl(295) [            ServerThreadPool-1] [-6405045092293590825] : COT Code : HOST_COT
[20336] 01:36:00.624 I -                SystemCOTServiceImpl(296) [            ServerThreadPool-1] [-6405045092293590825] : COT Application Code : GPCASHIB
[20336] 01:36:00.624 D -                SystemCOTServiceImpl(320) [            ServerThreadPool-1] [-6405045092293590825] : 






[20336] 01:36:00.624 D -                SystemCOTServiceImpl(321) [            ServerThreadPool-1] [-6405045092293590825] : code: HOST_COT
[20336] 01:36:00.624 D -                SystemCOTServiceImpl(322) [            ServerThreadPool-1] [-6405045092293590825] : applicationCode: GPCASHIB
[20336] 01:36:00.624 D -                SystemCOTServiceImpl(323) [            ServerThreadPool-1] [-6405045092293590825] : COT start : Thu Dec 31 00:01:00 SGT 2020
[20336] 01:36:00.625 D -                SystemCOTServiceImpl(324) [            ServerThreadPool-1] [-6405045092293590825] : COT end : Thu Dec 31 23:59:00 SGT 2020
